RUN	OtherProtocols.SSEProtocol	sseprotocol	1659942445144	 	3.6.1
USER	sse scenario	START	1659942448939
USER	sse scenario	START	1659942448939
USER	sse scenario	START	1659942448939
USER	sse scenario	START	1659942448939
USER	sse scenario	START	1659942448939
REQUEST		sse_request	1659942448984	1659942449545	OK	 
REQUEST		sse_request	1659942448984	1659942449549	OK	 
REQUEST		sse_request	1659942448984	1659942449552	OK	 
REQUEST		sse_request	1659942448984	1659942449560	OK	 
REQUEST		sse_request	1659942448984	1659942449578	OK	 
REQUEST		check_connect	1659942449545	1659942449561	OK	 
REQUEST		check_connect	1659942449578	1659942449578	OK	 
REQUEST		check_connect	1659942449552	1659942449564	OK	 
REQUEST		check_connect	1659942449560	1659942449564	OK	 
REQUEST		check_connect	1659942449549	1659942449563	OK	 
REQUEST		checkid	1659942454604	1659942455546	OK	 
REQUEST		checkid	1659942454604	1659942455555	OK	 
REQUEST		checkid	1659942454604	1659942455540	OK	 
REQUEST		checkdata	1659942454604	1659942456540	OK	 
REQUEST		checkid	1659942454604	1659942457542	OK	 
REQUEST		checkid	1659942454604	1659942457553	OK	 
REQUEST		checkdata	1659942454604	1659942457555	OK	 
REQUEST		checkid	1659942456543	1659942458541	OK	 
REQUEST		checkdata	1659942454604	1659942458546	OK	 
REQUEST		checkid	1659942457556	1659942458555	OK	 
REQUEST		checkdata	1659942454604	1659942459543	OK	 
REQUEST		checkid	1659942458546	1659942459546	OK	 
REQUEST		checkid	1659942459543	1659942460543	OK	 
REQUEST		checkdata	1659942454604	1659942460554	OK	 
REQUEST		checkdata	1659942457556	1659942460555	OK	 
REQUEST		checkdata	1659942456543	1659942461540	OK	 
REQUEST		checkdata	1659942459543	1659942461543	OK	 
REQUEST		checkdata	1659942458546	1659942462546	OK	 
REQUEST		checkid	1659942460555	1659942463554	OK	 
REQUEST		checkid	1659942460556	1659942463556	OK	 
REQUEST		checkid	1659942461541	1659942464541	OK	 
REQUEST		checkid	1659942461544	1659942464544	OK	 
REQUEST		checkid	1659942462547	1659942465547	OK	 
REQUEST		checkdata	1659942460555	1659942465554	OK	 
REQUEST		checkdata	1659942460556	1659942465558	OK	 
REQUEST		checkdata	1659942461541	1659942466541	OK	 
REQUEST		checkdata	1659942461544	1659942466543	OK	 
REQUEST		checkid	1659942465555	1659942466554	OK	 
REQUEST		checkid	1659942465559	1659942466556	OK	 
REQUEST		checkid	1659942466542	1659942467541	OK	 
REQUEST		checkdata	1659942465559	1659942467556	OK	 
REQUEST		checkdata	1659942462547	1659942468547	OK	 
REQUEST		checkdata	1659942466542	1659942469541	OK	 
REQUEST		checkid	1659942466544	1659942469544	OK	 
REQUEST		checkdata	1659942465555	1659942469554	OK	 
REQUEST		checkid	1659942467557	1659942469557	OK	 
REQUEST		checkid	1659942469542	1659942471541	OK	 
REQUEST		checkdata	1659942466544	1659942471544	OK	 
REQUEST		checkid	1659942468548	1659942471547	OK	 
REQUEST		checkid	1659942469555	1659942471554	OK	 
REQUEST		checkdata	1659942467557	1659942471557	OK	 
REQUEST		sse_close	1659942471559	1659942471560	OK	 
USER	sse scenario	END	1659942471562
REQUEST		checkdata	1659942469542	1659942473542	OK	 
REQUEST		sse_close	1659942473542	1659942473542	OK	 
USER	sse scenario	END	1659942473542
REQUEST		checkdata	1659942469555	1659942473555	OK	 
REQUEST		checkid	1659942471545	1659942474544	OK	 
REQUEST		checkdata	1659942468548	1659942474547	OK	 
REQUEST		checkid	1659942474548	1659942475548	OK	 
REQUEST		checkid	1659942473555	1659942476555	OK	 
REQUEST		checkdata	1659942471545	1659942477545	OK	 
REQUEST		sse_close	1659942477546	1659942477546	OK	 
USER	sse scenario	END	1659942477546
REQUEST		checkdata	1659942474548	1659942477548	OK	 
REQUEST		sse_close	1659942477548	1659942477549	OK	 
USER	sse scenario	END	1659942477549
REQUEST		checkdata	1659942473555	1659942477555	OK	 
REQUEST		sse_close	1659942477556	1659942477556	OK	 
USER	sse scenario	END	1659942477556
USER	sse scenario	START	1659942478933
REQUEST		sse_request	1659942478935	1659942479470	OK	 
REQUEST		check_connect	1659942479470	1659942479471	OK	 
USER	sse scenario	START	1659942484931
REQUEST		sse_request	1659942484932	1659942485471	OK	 
REQUEST		checkid	1659942484486	1659942485471	OK	 
REQUEST		check_connect	1659942485471	1659942485472	OK	 
REQUEST		checkdata	1659942484486	1659942486471	OK	 
REQUEST		checkid	1659942486472	1659942488472	OK	 
REQUEST		checkdata	1659942486472	1659942489472	OK	 
USER	sse scenario	START	1659942490935
REQUEST		checkid	1659942489472	1659942491472	OK	 
REQUEST		checkid	1659942490476	1659942491472	OK	 
REQUEST		sse_request	1659942490936	1659942491478	OK	 
REQUEST		check_connect	1659942491478	1659942491479	OK	 
REQUEST		checkdata	1659942490476	1659942493472	OK	 
REQUEST		checkid	1659942493472	1659942494472	OK	 
REQUEST		checkdata	1659942489472	1659942494472	OK	 
REQUEST		checkid	1659942494473	1659942495473	OK	 
USER	sse scenario	START	1659942496929
REQUEST		sse_request	1659942496930	1659942497470	OK	 
